com.samsung.shealth.sleep,6123001,3
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,extra_data,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,,,,,,,,,,,,,,,,50004,,,0.0,,,2019-01-28 21:50:00.000,,2019-01-29 07:46:43.976,2019-01-29 07:46:43.976,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2019-01-29 06:30:00.000,41be0ed4-38ac-47e1-8a50-dc3128313b1d,
,,,,,,,,,,,,,,,,,50002,,,0.0,,,2019-02-03 21:30:00.000,,2019-02-04 05:06:27.146,2019-02-04 05:06:27.146,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2019-02-04 04:20:00.000,ce51805e-c6d4-478b-bc5a-698cf3a7a5ac,
,,,,,,,,,,,,,,,,,50001,,,0.0,,,2019-02-11 14:00:00.000,,2019-02-11 23:18:14.082,2019-02-11 23:18:14.082,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2019-02-11 20:20:00.000,8836be45-8418-4950-be07-c69d3132e2e6,
,,,,,,,,,,,,,,2019-01-30 07:40:00.000,,2019-01-29 23:30:00.000,50004,,,0.0,,,2019-01-29 23:30:00.000,,2019-01-30 08:53:43.108,2019-01-30 08:52:57.799,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2019-01-30 07:40:00.000,5cc3511d-48c1-4edf-822e-5611fc999639,
,,,,,,,,,,,,,,,,,0,,,0.0,,,2019-02-16 01:20:00.000,,2019-02-20 11:09:29.920,2019-02-20 11:09:29.920,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2019-02-16 07:40:00.000,ba133d88-8cff-4629-aa3f-8eb38fb61cbc,
,,,,,,,,,,,,,,,,,50005,,,0.0,,,2019-02-04 22:20:00.000,,2019-02-05 09:26:36.596,2019-02-05 09:26:36.596,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2019-02-05 09:26:21.167,be7876f1-8422-4a0b-b61f-ea6f6a5a1a0e,
,,,,,,,,,,,,,,,,,0,,,0.0,,,2019-02-23 04:40:00.000,,2019-02-23 13:38:48.362,2019-02-23 13:38:48.362,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2019-02-23 09:10:00.000,be55634d-1778-4bc9-9ad8-5da7a688074b,
,,,,,,,,,,,,,,,,,50001,,,0.0,,,2019-02-13 23:00:00.000,,2019-02-14 07:00:31.487,2019-02-14 07:00:31.487,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2019-02-14 04:20:00.000,47a8cfbc-0fe2-44ab-b4f9-651bf11bbefa,
,,,,,,,,,,,,,,,,,0,,,0.0,,,2019-02-15 03:40:00.000,,2019-02-20 11:09:35.303,2019-02-20 11:09:35.303,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2019-02-15 10:20:00.000,f9c09039-1ebf-421f-b690-143212a5c83a,
,,,,,,,,,,,,,,,,,0,,,0.0,,,2019-02-22 00:30:00.000,,2019-02-23 13:39:16.042,2019-02-23 13:39:16.042,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2019-02-22 12:20:00.000,41c96afb-a1f2-45d7-b21a-1ada9d984e79,
